label,comment,segments
0,一如既往地好吃，希望可以开到其他城市,"['一如既往', '地', '好吃', '，', '希望', '可以', '开到', '其他', '城市']"
0,味道很不错，分量足，客人很多，满意,"['味道', '很', '不错', '，', '分量', '足', '，', '客人', '很多', '，', '满意']"
0,下雨天来的，没有想象中那么火爆。环境非常干净，古色古香的，我自己也是个做服务行业的，我都觉得他们的服务非常好，场地脏了马上就有阿姨打扫。,"['下雨天', '来', '的', '，', '没有', '想象', '中', '那么', '火爆', '。', '环境', '非常', '干净', '，', '古色古香', '的', '，', '我', '自己', '也', '是', '个', '做', '服务', '行业', '的', '，', '我', '都', '觉得', '他们', '的', '服务', '非常', '好', '，', '场', '地脏', '了', '马上', '就', '有', '阿姨', '打扫', '。']"
0,真心不好吃 基本上没得好多味道,"['真心', '不', '好吃', '基本上', '没', '得', '好多', '味道']"
0,少送一个牛肉汉堡 而且也不好吃 特别是鸡肉卷 **都不想评论了 谁买谁知道,"['少送', '一个', '牛肉', '汉堡', '而且', '也', '不', '好吃', '特别', '是', '鸡肉卷', '**', '都', '不', '想', '评论', '了', '谁', '买', '谁', '知道']"
0,用美团，图打折。,"['用', '美团', '，', '图', '打折', '。']"
0,好难吃水煮鸡杂呀,"['好', '难吃', '水', '煮', '鸡杂', '呀']"
0,环境很好，服务很热情，味道非常好，鱼也很新鲜，我和儿子吃的好饱，包子和饺子很好吃哟，,"['环境', '很', '好', '，', '服务', '很', '热情', '，', '味道', '非常', '好', '，', '鱼', '也', '很', '新鲜', '，', '我', '和', '儿子', '吃', '的', '好', '饱', '，', '包子', '和', '饺子', '很', '好吃', '哟', '，']"
0,一如既往的好吃，个人更喜欢吃全翅,"['一如既往', '的', '好吃', '，', '个人', '更', '喜欢', '吃', '全', '翅']"
0,四个就把我吃饱了……阔以,"['四', '个', '就', '把', '我', '吃', '饱', '了', '……', '阔', '以']"
0,蛋糕很好吃，送货及时，服务一流啊，下次有机会继续买。,"['蛋糕', '很', '好吃', '，', '送货', '及时', '，', '服务', '一流', '啊', '，', '下次', '有', '机会', '继续', '买', '。']"
